
timestamp, person_id, image_path, dresscode, bear, posture, card, status
2025-11-08 21:58:25,person_1,captured_images\detection_person_1_20251108_215825.jpg,formal,no_beard,tuckin,notwearing,Stabilizing (6/8)
2025-11-08 21:58:30,person_1,captured_images\detection_person_1_20251108_215830.jpg,formal,no_beard,tuckin,notwearing,Consistent (Similarity: 1.00)
2025-11-08 21:58:35,person_1,captured_images\detection_person_1_20251108_215835.jpg,formal,no_beard,tuckin,notwearing,Consistent (Similarity: 1.00)
2025-11-08 21:58:41,person_1,captured_images\detection_person_1_20251108_215841.jpg,formal,no_beard,tuckin,notwearing,Consistent (Similarity: 1.00)
2025-11-09 18:49:13,person_1,captured_images\detection_person_1_20251109_184913.jpg,formal,no_beard,nottuckin,notwearing,Stabilizing (5/8)
2025-11-09 18:49:19,person_1,captured_images\detection_person_1_20251109_184919.jpg,formal,no_beard,nottuckin,notwearing,Consistent (Similarity: 1.00)
2025-11-09 18:49:24,person_1,captured_images\detection_person_1_20251109_184924.jpg,formal,no_beard,nottuckin,notwearing,Consistent (Similarity: 0.75)
2025-11-09 18:49:29,person_1762694365,captured_images\detection_person_1762694365_20251109_184929.jpg,formal,no_beard,nottuckin,idcardwearing,Consistent (Similarity: 1.00)
2025-11-09 18:49:34,person_1762694365,captured_images\detection_person_1762694365_20251109_184934.jpg,formal,no_beard,nottuckin,idcardwearing,Consistent (Similarity: 1.00)
2025-11-09 18:49:39,person_1762694365,captured_images\detection_person_1762694365_20251109_184939.jpg,formal,no_beard,nottuckin,idcardwearing,Consistent (Similarity: 0.75)
2025-11-09 18:49:45,person_1762694365,captured_images\detection_person_1762694365_20251109_184945.jpg,formal,no_beard,nottuckin,idcardwearing,Consistent (Similarity: 0.75)
2025-11-09 18:49:50,person_1762694365,captured_images\detection_person_1762694365_20251109_184950.jpg,formal,no_beard,nottuckin,idcardwearing,Consistent (Similarity: 0.75)
2025-11-09 18:49:55,person_1762694365,captured_images\detection_person_1762694365_20251109_184955.jpg,formal,no_beard,nottuckin,idcardwearing,Consistent (Similarity: 0.75)
2025-11-09 18:50:00,person_1762694399,captured_images\detection_person_1762694399_20251109_185000.jpg,informal,no_beard,nottuckin,notwearing,Stabilizing (3/8)
2025-11-09 18:50:06,person_1762694399,captured_images\detection_person_1762694399_20251109_185006.jpg,formal,no_beard,nottuckin,notwearing,Consistent (Similarity: 1.00)
2025-11-09 18:50:11,person_1762694399,captured_images\detection_person_1762694399_20251109_185011.jpg,formal,no_beard,nottuckin,notwearing,Consistent (Similarity: 0.75)
2025-11-13 21:06:56,person_1,captured_images\detection_person_1_20251113_210656.jpg,formal,no_beard,nottuckin,idcardwearing,Consistent (Similarity: 1.00)
2025-11-13 21:07:01,person_1763048217,captured_images\detection_person_1763048217_20251113_210701.jpg,informal,no_beard,nottuckin,notwearing,Consistent (Similarity: 1.00)
2025-12-06 15:05:09,person_1,captured_images\detection_person_1_20251206_150509.jpg,formal,no_beard,nottuckin,idcardwearing,Consistent (Similarity: 1.00)
2025-12-06 15:05:14,person_1765013713,captured_images\detection_person_1765013713_20251206_150514.jpg,informal,no_beard,nottuckin,notwearing,Stabilizing (3/8)
2025-12-06 15:05:19,person_1765013719,captured_images\detection_person_1765013719_20251206_150519.jpg,formal,no_beard,tuckin,notwearing,New Person Detected (Similarity: 0.50)
2025-12-06 15:05:24,person_1765013722,captured_images\detection_person_1765013722_20251206_150524.jpg,formal,no_beard,nottuckin,notwearing,Stabilizing (5/8)
2025-12-06 15:06:53,person_1765013810,captured_images\detection_person_1765013810_20251206_150653.jpg,formal,beard,nottuckin,notwearing,Consistent (Similarity: 1.00)
